Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
7,7,3,173,0.415,0.366,0.847,5.5,0.053,-2.3,-0.4,28.5,14.1,3.7,3.5
7,7,6,302,0.401,0.323,0.744,-0.2,-0.001,-3.2,-2.2,23.8,10.9,2.9,3.8
7,7,5,345,0.446,0.367,0.878,20.8,0.096,0.3,6,30.1,16.3,3.6,3.8
7,7,2,72,0.358,0.276,0.818,-1.2,-0.033,-5.5,-1.6,24.9,6.4,2.8,4.5
7,7,13,879,0.411,0.375,0.8,52.5,0.093,0,13.3,30.7,10.9,2.9,4.8
7,7,12,788,0.398,0.327,0.813,38.5,0.08,0.2,12.9,29.4,10.5,2.3,5.9
7,7,13,878,0.406,0.357,0.833,55.4,0.091,0.3,16.8,33.2,13.4,3.5,6.1
7,7,13,816,0.473,0.428,0.908,119.4,0.204,6.5,60.4,34.4,24.3,4.6,6.5
8,8,3,139,0.405,0.25,0.679,-0.4,-0.013,-7.2,-2.1,11.4,2.8,2.8,0.3
8,8,12,601,0.427,0.167,0.467,12.8,0.073,-1.9,0.2,14,2,3.7,0.4
8,8,12,733,0.477,0,0.499,18.7,0.069,-1.7,1.1,17.8,4.1,4.7,0.5
8,8,10,428,0.607,0,0.674,26.2,0.181,2.3,7.5,16.2,7,3.6,0.5
8,8,11,628,0.541,0,0.643,26.9,0.103,-1.6,1.2,19.9,8.2,4.9,0.7
8,8,2,67,0.41,0.34,0.698,0.5,0.03,-3.6,-0.3,11.1,4.2,1.8,0.7
8,8,3,171,0.647,0.318,0.716,10.5,0.178,0.2,1.5,16.6,7.8,4.1,0.7
8,8,2,116,0.505,0.264,0.746,3.6,0.115,-0.3,0.6,12.9,5.6,2.9,0.7
8,8,8,409,0.497,0.136,0.699,16.4,0.102,-2,0,18.8,7.9,5.8,0.8
8,8,3,105,0.386,0.291,0.728,0.1,0.004,-5.7,-1.2,12.7,5.5,1.5,0.9
8,8,4,172,0.414,0.34,0.816,2.1,0.043,-2.3,-0.2,13.7,4.9,1.3,1
8,8,13,890,0.44,0.388,0.822,38.9,0.094,-0.4,8,22.2,8.7,4.5,1
8,8,6,281,0.456,0.29,0.666,6.2,0.056,-2.3,-0.4,18.7,7.7,4.8,1
8,8,12,756,0.49,0.214,0.746,54.5,0.122,-0.8,6.2,28.3,10.5,7.4,1.2
8,8,11,711,0.42,0.332,0.746,27.6,0.075,-0.6,6.5,24.9,7.5,6,1.2
8,8,10,658,0.418,0.364,0.839,23.5,0.069,-0.9,4.7,24.9,11.3,2.8,1.3
8,8,7,395,0.38,0.299,0.755,5.4,0.033,-2.8,-1.7,19.9,6.2,3.1,1.4
8,8,8,483,0.406,0.345,0.739,17.5,0.069,-0.9,3.4,25.3,12.3,3.4,1.5
8,8,6,337,0.389,0.354,0.814,3.9,0.028,-3,-1.7,19.8,6.8,2.1,1.5
8,8,6,251,0.384,0.27,0.735,0.1,0.001,-3.7,-2.2,20,6.7,1.9,1.7
8,8,9,661,0.418,0.358,0.809,33.3,0.083,-0.8,5.8,29.1,11.4,3.1,1.7
8,8,13,791,0.485,0.215,0.638,47,0.088,-1.2,5.3,32.5,15,7.4,1.9
8,8,16,1044,0.453,0.349,0.799,60.3,0.087,0.7,22.9,32,16.5,5.8,2.1
8,8,5,258,0.368,0.33,0.774,0.3,0.003,-4.2,-2.6,18.2,5.3,1.9,2.4
8,8,8,507,0.439,0.378,0.78,44.8,0.127,2.2,18,33.4,14.1,3.9,2.6
8,8,1,60,0.466,0.362,0.854,2.9,0.072,-1,0.5,32,15.6,4.6,3
8,8,13,727,0.406,0.309,0.757,32.3,0.069,-0.1,10.7,30.8,14.1,4.2,3.1
8,8,4,218,0.458,0.378,0.827,5.5,0.037,-2.5,-0.9,32.9,20,3,3.3
8,8,20,1327,0.41,0.348,0.862,60.7,0.075,-0.1,18.4,29.4,14.6,2.2,3.4
8,8,9,449,0.411,0.353,0.807,11.7,0.043,-1.6,1.5,29.4,14,3.1,4
8,8,8,429,0.433,0.289,0.815,16.9,0.068,-0.4,4.6,27.7,11.2,3.1,5.8
8,8,17,1304,0.461,0.217,0.807,100.8,0.12,1.3,33.4,30.9,12.5,3.7,6.5
9,9,6,225,0.509,0.5,0.786,6.5,0.112,-3,-0.7,12.4,6,3.1,0.3
9,9,4,90,0.494,0,0.583,0.5,0.046,-4.6,-0.3,5.8,2.1,1.4,0.3
9,9,8,465,0.49,0,0.478,8.5,0.048,-4.4,-5.2,18.2,4.5,4.6,0.4
9,9,13,592,0.552,0,0.557,23,0.094,-1.7,0.8,19.8,3.9,6.2,0.4
9,9,10,445,0.462,0.111,0.63,14.2,0.089,-2.6,-1.1,17.1,5.3,4.7,0.6
9,9,4,233,0.485,0,0.689,7.8,0.103,-2.7,-0.6,15.5,6.5,4.5,0.6
9,9,2,128,0.367,0.222,0.755,1.1,0.025,-3.5,-0.7,16.1,5,2.5,0.8
9,9,7,339,0.459,0.308,0.691,9.2,0.078,-2.4,-0.6,16.8,4.9,5.1,0.8
9,9,4,203,0.368,0.342,0.704,-0.5,-0.006,-4.7,-2.7,19.5,7.9,3,0.8
